Requirement,Description
Requirement 6.1.3, "UART interface between main and low-power FPGA module exposed via one of the MEGA65 buffered UART interfaces."
Requirement 6.1.4, "MEGA65-side software that implements the power control API."
Requirement 6.2.1, "Can initiate telephone calls via dialing or selecting a contact."
Requirement 6.2.2, "Can accept incoming telephone calls, showing contact name when the caller matches an existing contact."
Requirement 6.2.3, "Can list contacts."
Requirement 6.2.4, "Can add a contact."
Requirement 6.2.5, "Can edit a contact."
Requirement 6.2.6, "Can delete a contact. "
Requirement 6.2.7, "Incoming calls are indicated, even if the user is performing some other function (e.g., OSD overlay or blinking LED)."
Requirement 6.3.1, "Incoming SMS messages are indicated, even if the user is performing some other function (e.g., OSD overlay or blinking LED)."
Requirement 6.3.2, "SMS message can be composed and sent to a number or contact."
Requirement 6.3.3, "SMS message can be received, and the corresponding contact indicated."
Desirable 6.3.4, "SMS messages are logged, so that SMS conversation threads can be displayed."
